iter	Passed	Remaining
401	19942	29666
402	19985	29605
403	20047	29575
404	20120	29559
405	20187	29534
406	20278	29545
407	20329	29497
408	20375	29442
409	20424	29391
410	20468	29332
411	20517	29282
412	20568	29233
413	20608	29170
414	20648	29107
415	20687	29042
416	20729	28981
417	20774	28925
418	20813	28861
419	20856	28801
420	20901	28745
421	20952	28697
422	20997	28641
423	21041	28585
424	21087	28530
425	21136	28479
426	21188	28433
427	21238	28384
428	21288	28335
429	21337	28284
430	21395	28246
431	21448	28200
432	21489	28140
433	21536	28086
434	21576	28024
435	21635	27987
436	21679	27929
437	21721	27870
438	21762	27810
439	21805	27752
440	21853	27700
441	21924	27678
442	22024	27691
443	22148	27735
444	22230	27725
445	22288	27686
446	22339	27637
447	22390	27588
448	22433	27529
449	22482	27478
450	22533	27429
451	22599	27399
452	22648	27348
453	22689	27286
454	22732	27229
455	22774	27168
456	22814	27108
457	22857	27049
458	22899	26990
459	22945	26935
460	22984	26873
461	23022	26810
462	23063	26749
463	23110	26697
464	23158	26644
465	23204	26590
466	23243	26528
467	23286	26471
468	23331	26416
469	23369	26353
470	23409	26292
471	23447	26229
472	23492	26174
473	23538	26120
474	23582	26065
475	23624	26006
476	23665	25947
477	23706	25889
478	23749	25832
479	23804	25788
480	23857	25742
481	23912	25698
482	23951	25637
483	23991	25577
484	24033	25520
485	24073	25460
486	24110	25397
487	24149	25337
488	24185	25273
489	24232	25221
490	24292	25182
491	24344	25135
492	24387	25080
493	24428	25021
494	24471	24965
495	24512	24907
496	24550	24847
497	24589	24786
498	24630	24728
499	24673	24673
500	24713	24615
501	24753	24556
502	24792	24496
503	24830	24436
504	24870	24378
505	24909	24318
506	24947	24258
507	24984	24197
508	25022	24137
509	25063	24080
510	25105	24024
511	25146	23967
512	25187	23910
513	25226	23852
514	25265	23793
515	25306	23737
516	25346	23679
517	25385	23621
518	25422	23560
519	25468	23509
520	25513	23457
521	25570	23415
522	25618	23365
523	25672	23320
524	25734	23284
525	25789	23240
526	25839	23191
527	25889	23143
528	25937	23093
529	26002	23059
530	26052	23010
531	26098	22959
532	26143	22905
533	26187	22852
534	26234	22802
535	26280	22750
536	26322	22695
537	26363	22639
538	26401	22581
539	26446	22528
540	26484	22470
541	26525	22414
542	26566	22359
543	26607	22303
544	26646	22246
545	26688	22191
546	26732	22138
547	26772	22082
548	26810	22024
549	26848	21967
550	26885	21908
551	26929	21856
552	26974	21803
553	27011	21745
554	27051	21689
555	27091	21634
556	27138	21584
557	27181	21531
558	27226	21479
559	27289	21442
560	27345	21399
561	27399	21354
562	27450	21306
563	27495	21255
564	27545	21207
565	27595	21159
566	27680	21139
567	27740	21098
568	27792	21052
569	27839	21001
570	27888	20952
571	27942	20908
572	28009	20872
573	28091	20848
574	28137	20796
575	28181	20744
576	28222	20689
577	28263	20635
578	28302	20579
579	28339	20521
580	28379	20466
581	28418	20410
582	28462	20358
583	28504	20304
584	28547	20251
585	28588	20197
586	28630	20143
587	28674	20091
588	28716	20037
589	28752	19980
590	28791	19925
591	28832	19871
592	28876	19818
593	28916	19764
594	28959	19712
595	28999	19657
596	29041	19604
597	29078	19548
598	29120	19494
599	29160	19440
600	29203	19388
601	29253	19340
602	29293	19286
603	29332	19231
604	29375	19179
605	29415	19124
606	29456	19071
607	29494	19015
608	29535	18962
609	29573	18907
610	29617	18856
611	29659	18803
612	29699	18749
613	29737	18694
614	29776	18640
615	29816	18587
616	29858	18534
617	29899	18481
618	29939	18427
619	29982	18376
620	30024	18324
621	30062	18269
622	30106	18218
623	30147	18165
624	30188	18113
625	30225	18057
626	30264	18004
627	30304	17951
628	30348	17900
629	30389	17847
630	30428	17794
631	30467	17740
632	30507	17687
633	30549	17635
634	30590	17583
635	30632	17532
636	30671	17478
637	30717	17428
638	30753	17374
639	30795	17322
640	30839	17271
641	30879	17219
642	30921	17167
643	30985	17128
644	31048	17088
645	31104	17044
646	31168	17005
647	31227	16963
648	31285	16920
649	31328	16869
650	31376	16820
651	31418	16769
652	31460	16717
653	31503	16666
654	31546	16615
655	31587	16564
656	31633	16514
657	31678	16465
658	31719	16413
659	31760	16361
660	31802	16309
661	31842	16257
662	31886	16207
663	31926	16155
664	31972	16106
665	32018	16057
666	32073	16012
667	32118	15962
668	32163	15913
669	32210	15865
670	32257	15816
671	32305	15768
672	32349	15718
673	32399	15670
674	32452	15625
675	32511	15582
676	32568	15538
677	32628	15496
678	32674	15446
679	32721	15398
680	32774	15352
681	32831	15308
682	32885	15263
683	32953	15224
684	33012	15180
685	33067	15135
686	33119	15089
687	33167	15041
688	33215	14992
689	33266	14945
690	33314	14897
691	33363	14849
692	33434	14811
693	33493	14768
694	33550	14723
695	33610	14680
696	33667	14635
697	33727	14592
698	33782	14547
699	33825	14496
700	33869	14446
701	33908	14394
702	33948	14342
703	33986	14289
704	34023	14236
705	34063	14185
706	34102	14133
707	34140	14080
708	34177	14027
709	34215	13975
710	34253	13922
711	34294	13871
712	34337	13821
713	34375	13769
714	34413	13717
715	34455	13666
716	34504	13619
717	34558	13573
718	34617	13529
719	34663	13480
720	34705	13429
721	34750	13380
722	34814	13338
723	34868	13292
724	34988	13271
725	35065	13234
726	35163	13204
727	35238	13166
728	35312	13127
729	35384	13087
730	35445	13043
731	35510	13001
732	35589	12963
733	35643	12917
734	35693	12868
735	35756	12825
736	35809	12778
737	35865	12732
738	35933	12691
739	36008	12651
740	36079	12610
741	36120	12559
742	36164	12509
743	36207	12458
744	36250	12408
745	36293	12357
746	36337	12307
747	36384	12258
748	36431	12208
749	36473	12157
750	36514	12106
751	36562	12057
752	36605	12007
753	36646	11956
754	36682	11903
755	36721	11851
756	36761	11800
757	36801	11749
758	36841	11698
759	36884	11647
760	36926	11597
761	36968	11546
762	37010	11496
763	37050	11444
764	37090	11393
765	37129	11342
766	37169	11291
767	37211	11240
768	37252	11190
769	37292	11139
770	37333	11088
771	37373	11037
772	37415	10987
773	37456	10937
774	37494	10885
775	37530	10833
776	37569	10782
777	37609	10731
778	37655	10682
779	37697	10632
780	37739	10582
781	37780	10532
782	37822	10482
783	37869	10433
784	37935	10389
785	37982	10341
786	38027	10291
787	38082	10245
788	38139	10199
789	38199	10154
790	38241	10104
791	38288	10055
792	38337	10007
793	38383	9958
794	38425	9908
795	38472	9859
796	38521	9811
797	38564	9761
798	38607	9712
799	38648	9662
800	38689	9612
801	38729	9561
802	38768	9511
803	38812	9461
804	38853	9411
805	38899	9362
806	38942	9313
807	38988	9264
808	39035	9216
809	39089	9169
810	39136	9120
811	39186	9072
812	39255	9029
813	39312	8983
814	39400	8943
815	39453	8896
816	39515	8851
817	39558	8801
818	39597	8751
819	39645	8702
820	39689	8653
821	39730	8603
822	39772	8553
823	39812	8503
824	39879	8459
825	39938	8413
826	39977	8362
827	40021	8313
828	40082	8267
829	40127	8218
830	40168	8169
831	40206	8118
832	40244	8068
833	40285	8018
834	40323	7968
835	40365	7918
836	40410	7869
837	40449	7819
838	40489	7769
839	40530	7720
840	40572	7670
841	40618	7622
842	40661	7572
843	40712	7524
844	40761	7477
845	40817	7430
846	40873	7383
847	40931	7336
848	40983	7289
849	41036	7241
850	41086	7193
851	41141	7146
852	41212	7102
853	41290	7058
854	41367	7015
855	41436	6970
856	41498	6924
857	41569	6879
858	41646	6836
859	41711	6790
860	41762	6742
861	41814	6694
862	41868	6646
863	41918	6598
864	41963	6549
865	42011	6500
866	42055	6451
867	42097	6401
868	42142	6352
869	42179	6302
870	42229	6254
871	42278	6206
872	42333	6158
873	42386	6110
874	42435	6062
875	42485	6013
876	42531	5965
877	42576	5916
878	42620	5866
879	42662	5817
880	42707	5768
881	42755	5720
882	42803	5671
883	42859	5624
884	42928	5578
885	42996	5532
886	43045	5483
887	43103	5436
888	43161	5389
889	43218	5341
890	43285	5295
891	43338	5247
892	43405	5200
893	43462	5153
894	43513	5104
895	43560	5056
896	43601	5006
897	43633	4956
898	43668	4906
899	43706	4856
900	43743	4806
901	43790	4757
902	43831	4708
903	43883	4660
904	43929	4611
905	43976	4562
906	44033	4514
907	44099	4468
908	44174	4422
909	44245	4375
910	44296	4327
911	44351	4279
912	44405	4231
913	44467	4184
914	44616	4144
915	44665	4095
916	44727	4048
917	44787	4000
918	44837	3951
919	44884	3903
920	44928	3853
921	44972	3804
922	45018	3755
923	45058	3706
924	45100	3656
925	45138	3607
926	45177	3557
927	45221	3508
928	45264	3459
929	45305	3410
930	45345	3360
931	45386	3311
932	45428	3262
933	45470	3213
934	45511	3163
935	45550	3114
936	45590	3065
937	45630	3016
938	45677	2967
939	45719	2918
940	45758	2869
941	45798	2819
942	45836	2770
943	45877	2721
944	45919	2672
945	45962	2623
946	46000	2574
947	46040	2525
948	46082	2476
949	46120	2427
950	46163	2378
951	46218	2330
952	46255	2281
953	46293	2232
954	46332	2183
955	46381	2134
956	46443	2086
957	46502	2038
958	46555	1990
959	46614	1942
960	46678	1894
961	46723	1845
962	46774	1797
963	46826	1748
964	46876	1700
965	46924	1651
966	46970	1602
967	47016	1554
968	47075	1506
969	47134	1457
970	47189	1409
971	47244	1360
972	47294	1312
973	47342	1263
974	47390	1215
975	47438	1166
976	47487	1117
977	47545	1069
978	47594	1020
979	47648	972
980	47704	923
981	47768	875
982	47861	827
983	47917	779
984	47972	730
985	48028	681
986	48074	633
987	48115	584
988	48158	535
989	48212	486
990	48275	438
991	48324	389
992	48377	341
993	48432	292
994	48479	243
995	48537	194
996	48592	146
997	48627	97
998	48667	48
999	48706	0
