iter	Logloss
134	0.5941434938
135	0.5938614731
136	0.5935207204
137	0.593258094
138	0.5930518979
139	0.5927130845
140	0.5924224604
141	0.592189746
142	0.5918334388
143	0.5915581302
144	0.5913503228
145	0.5911402405
146	0.5909263215
147	0.5907528984
148	0.5905243242
149	0.5901689726
150	0.5899232402
151	0.589711063
152	0.5894869851
153	0.5892627969
154	0.5890472495
155	0.5887801093
156	0.5885889036
157	0.5883877207
158	0.5882189913
159	0.5880383965
160	0.5877803697
161	0.5875393346
162	0.5872608855
163	0.5868811149
164	0.5866683909
165	0.5864316106
166	0.5863139349
167	0.5861514476
168	0.5859746522
169	0.5857905271
170	0.5856448529
171	0.5854586114
172	0.5851718721
173	0.5848864533
174	0.5847314635
175	0.5844503784
176	0.584322331
177	0.5841314541
178	0.5838170092
179	0.5836552518
180	0.5834431272
181	0.5832253787
182	0.5830938884
183	0.5829325005
184	0.5825724676
185	0.5822853616
186	0.5821388817
187	0.5819697476
188	0.5817563957
189	0.5815570498
190	0.5813243662
191	0.5811884184
192	0.5809910047
193	0.5808534329
194	0.5806844845
195	0.5805310038
196	0.5803300051
197	0.5800463726
198	0.5798978092
199	0.5797157449
200	0.5795877318
201	0.5793510804
202	0.5791811964
203	0.5790433029
204	0.5788701537
205	0.5786571278
206	0.5783902831
207	0.5782401217
208	0.5780247841
209	0.5778308734
210	0.5776247549
211	0.5773961081
212	0.5771683547
213	0.5769863968
214	0.576704635
215	0.5764862715
216	0.5763701388
217	0.5761904762
218	0.5759286691
219	0.5757264721
220	0.5755135473
221	0.5753272671
222	0.5750897198
223	0.5749801661
224	0.5748541418
225	0.5745191082
226	0.5743699197
227	0.5742429564
228	0.5741175803
229	0.5739446883
230	0.5738250297
231	0.5737162126
232	0.5734798598
233	0.5733028398
234	0.5730975388
235	0.5729274834
236	0.5728156013
237	0.5727015887
238	0.5725124042
239	0.5722700909
240	0.572127258
241	0.5718784452
242	0.5717051288
243	0.5715893292
244	0.5714686406
245	0.5713056437
246	0.5711803488
247	0.5709464318
248	0.5707326053
249	0.5705234211
250	0.5703878323
251	0.5701975575
252	0.5700391414
253	0.5698953305
254	0.5697403297
255	0.5695917338
256	0.5694865136
257	0.569283108
258	0.5690657761
259	0.5689905983
260	0.5687434471
261	0.5685761777
262	0.5684247316
263	0.5683261406
264	0.5681431417
265	0.56801721
266	0.5678882213
267	0.5677495033
268	0.5675882929
269	0.5674855063
270	0.5672995079
271	0.5671779061
272	0.5669904698
273	0.5668359441
274	0.5667048547
275	0.5665432048
276	0.5664461966
277	0.5662704922
278	0.5661332809
279	0.5660088327
280	0.5658593878
281	0.5656740149
282	0.5655346008
283	0.5654711599
284	0.5653662341
285	0.5652815079
286	0.5651318011
287	0.5650240049
288	0.564882026
289	0.5647966131
290	0.5645879944
291	0.5644354391
292	0.5642880678
293	0.5641762684
294	0.5640748934
295	0.5639637187
296	0.5637852862
297	0.5636785446
298	0.5635768921
299	0.5634283654
300	0.563232724
301	0.5630724734
302	0.5629164009
303	0.562777839
304	0.5626115212
305	0.5624998556
306	0.5623737923
307	0.5622425816
308	0.5621073597
309	0.5619954353
310	0.5618710639
311	0.5617443208
312	0.5615991673
313	0.5614411093
314	0.5612344475
315	0.5610820604
316	0.5609218295
317	0.5606580777
318	0.5605550705
319	0.5603980738
320	0.560267274
321	0.5601292938
322	0.5599809795
323	0.5598705862
324	0.5597592374
325	0.5596352268
326	0.5595369859
327	0.5594377104
328	0.5592991129
329	0.559163158
330	0.5590105401
331	0.5589090209
332	0.55876458
333	0.5586743667
334	0.5585274017
335	0.5584106159
336	0.5582417294
337	0.5581222928
338	0.5579609222
339	0.5578251593
340	0.5576500838
341	0.5575200067
342	0.5573931278
343	0.5572449693
344	0.5570656328
345	0.5569117381
346	0.5568189707
347	0.5566347323
348	0.5564228144
349	0.5562893402
350	0.5561898131
351	0.5561007178
352	0.556013886
353	0.5558594082
354	0.5557290191
355	0.5556104407
356	0.5555105536
357	0.5554107619
358	0.5552652726
359	0.5551010302
360	0.5549289449
361	0.5547903611
362	0.5546924439
363	0.5546205845
364	0.5545105503
365	0.5544152902
366	0.5543318998
367	0.5541701593
368	0.5540094176
369	0.5538592526
370	0.5537425985
371	0.553595881
372	0.553496972
373	0.5533514688
374	0.5532798827
375	0.5532135947
376	0.5530300685
377	0.5529132694
378	0.5528175902
379	0.5527023355
380	0.5525322359
381	0.5523932298
382	0.5523386465
383	0.5522413697
384	0.5521698945
385	0.5520520453
386	0.5519421561
387	0.5517807313
388	0.5516502659
389	0.5514937517
390	0.5513843598
391	0.5511827856
392	0.5510536057
393	0.5509092651
394	0.5507814132
395	0.5507050268
396	0.5505871528
397	0.5504523754
398	0.5503224489
399	0.5502008053
400	0.5500858202
401	0.5499951332
402	0.5499114435
403	0.5497609649
404	0.5496868603
405	0.5495746906
406	0.5494874654
407	0.5493789882
408	0.5492227079
409	0.5490925728
410	0.5490139407
411	0.5488570272
412	0.5487362499
413	0.5486652575
414	0.5485062542
415	0.548403126
416	0.5482348673
417	0.5480811212
418	0.5479742589
419	0.5478987923
420	0.5478053794
421	0.5476629468
422	0.5475934205
423	0.5474587877
424	0.5473723851
425	0.5472541421
426	0.5471616973
427	0.5470365106
428	0.5469438786
429	0.5468666809
430	0.5467331505
431	0.5466457467
432	0.5465141961
433	0.5464313384
434	0.5463724817
435	0.546199606
436	0.546084041
437	0.5459547781
438	0.5458525628
439	0.5457634502
440	0.5456648903
441	0.5455564412
442	0.5454622834
443	0.5453897824
444	0.5452900938
445	0.5451568927
446	0.5450454435
447	0.5449420277
448	0.5448638342
449	0.5446318737
450	0.5445387581
451	0.5444774908
452	0.5443962114
453	0.5442311045
454	0.5441117263
455	0.5439743412
456	0.5438537401
457	0.5437652311
458	0.5436789032
459	0.5435449545
460	0.5433484648
461	0.5432019622
462	0.5431048527
463	0.5429931381
464	0.5428749587
465	0.5427744822
466	0.5427096194
467	0.5426339286
468	0.542537286
469	0.5424573127
470	0.5423414613
471	0.5422158733
472	0.5421117845
473	0.5420005531
474	0.5418535892
475	0.5417593607
476	0.5416359394
477	0.5415571479
478	0.5414827692
479	0.5413733106
480	0.5412961778
481	0.5411574467
482	0.5410198454
483	0.5409577483
484	0.5408096545
485	0.5407114471
486	0.5406249826
487	0.5405101757
488	0.5404062152
489	0.5403385409
490	0.5402505468
491	0.5401511744
492	0.5400640299
493	0.5399422846
494	0.5397911237
495	0.5397052069
496	0.5396258504
497	0.5395214433
498	0.5393982449
499	0.5392763318
500	0.5391373101
501	0.5390215718
502	0.5388612172
503	0.5387682776
504	0.5387262144
505	0.538639043
506	0.5385460355
507	0.5384407009
508	0.5383179865
509	0.5382029555
510	0.5380873186
511	0.5379435179
512	0.5378115236
513	0.5377225873
514	0.5376255335
515	0.5375476449
516	0.5374604512
517	0.5373673102
518	0.537259541
519	0.5371451392
520	0.537021036
521	0.5368912134
522	0.5368124754
523	0.536687443
524	0.5365966891
525	0.5364783315
526	0.5363578716
527	0.5362353244
528	0.5361445052
529	0.5359825941
530	0.5358848515
531	0.5358122675
532	0.5356797637
533	0.5355999582
534	0.5354980278
535	0.5353371423
536	0.5352328032
537	0.5351487813
538	0.5350849761
539	0.5349973082
540	0.5349217807
541	0.5347950605
542	0.5346999589
543	0.5345743087
544	0.5344601821
545	0.5343508691
546	0.5342273777
547	0.5341176406
548	0.5340271757
549	0.5339573196
550	0.533901863
551	0.5338390646
552	0.5336907957
553	0.5335393048
554	0.5334393072
555	0.5333110658
556	0.5332318759
557	0.5331535061
558	0.5331039094
559	0.5329962115
560	0.5328976974
561	0.5327684851
562	0.5326901118
563	0.5325387368
564	0.5324241805
565	0.5323330572
566	0.5322358303
567	0.5321450933
568	0.5320012686
569	0.5318876615
570	0.5318013195
571	0.5317120868
572	0.5316163258
573	0.5314707515
574	0.5313190311
575	0.5312301749
576	0.531124424
577	0.53104519
578	0.5309441107
579	0.5308808717
580	0.5307925062
581	0.5307142111
582	0.5306629299
583	0.5305689338
584	0.5304976598
585	0.5303995507
586	0.5303116422
587	0.5301496662
588	0.5300804392
589	0.5299738787
590	0.5298867118
591	0.5298106978
592	0.5297045936
593	0.5296299156
594	0.5295624018
595	0.5294314081
596	0.5293493933
597	0.5292869316
598	0.5291626572
599	0.5290637631
600	0.5290103099
601	0.5289114066
602	0.5288415535
603	0.5287815577
604	0.528634363
605	0.5285170062
606	0.5284150373
607	0.528322959
608	0.5282625296
609	0.5281929429
610	0.5281115286
611	0.5280157673
612	0.5279425003
613	0.5278535862
614	0.527747906
615	0.527685202
616	0.5275849273
617	0.5274445639
618	0.5273366709
619	0.5272679999
620	0.5271380032
621	0.5270702096
622	0.5270312598
623	0.5269390178
624	0.5268364671
625	0.5267663069
626	0.5267282876
627	0.5266364094
628	0.5265584756
629	0.5264682447
630	0.5263961726
631	0.5262256875
632	0.5261111382
633	0.5260321567
634	0.5259040132
635	0.5258113531
636	0.525725558
637	0.5256568039
638	0.5255816299
639	0.5254639942
640	0.5254095637
641	0.5253553549
642	0.5252715954
643	0.5251869133
644	0.5250982432
645	0.5250269008
646	0.5249763579
647	0.5248897107
648	0.5248355174
649	0.5247981278
650	0.5246957998
651	0.5246138831
652	0.5245135855
653	0.5244267657
654	0.5243677801
655	0.5242607498
656	0.5241570206
657	0.5240949994
658	0.524023336
659	0.5239133896
660	0.523832161
661	0.5237732072
662	0.5236829889
663	0.5235657162
664	0.5234881427
665	0.5233833884
666	0.5232757862
667	0.5231467417
668	0.5230556383
669	0.5230106758
670	0.5229541534
671	0.5228835942
672	0.5227934585
673	0.5227147946
674	0.5226130474
675	0.5224564637
676	0.522411536
677	0.522307407
678	0.5222383406
679	0.5221649108
680	0.5220553112
681	0.5219552858
682	0.5218414056
683	0.5217709973
684	0.5217102887
685	0.5216108508
686	0.5215327049
687	0.5214350037
688	0.5213514951
689	0.5212750553
690	0.5211653269
691	0.521111546
692	0.5210497048
693	0.5209837353
694	0.5208705219
695	0.5207666534
696	0.5206683141
697	0.5205849938
698	0.5204638233
699	0.5203479724
700	0.5202415549
701	0.5201654723
702	0.5200670714
703	0.5199849172
704	0.5198353757
705	0.5197113436
706	0.5196430802
707	0.519569993
708	0.5195192165
709	0.5194485886
710	0.5193520905
711	0.5192385822
712	0.519147482
713	0.5190726494
714	0.5190162435
715	0.5189197842
716	0.5188778484
717	0.5188279082
718	0.5187425999
719	0.5186714346
720	0.5185656354
721	0.5184987454
722	0.5184092491
723	0.5183418251
724	0.5182677299
725	0.51817916
726	0.5180869002
727	0.5180275237
728	0.5179545489
729	0.5178616271
730	0.5177868872
731	0.5177025741
732	0.5176144392
733	0.5175621787
734	0.5174854669
735	0.5174481651
736	0.5173439278
737	0.5172686559
738	0.5171700641
739	0.5170643443
740	0.5170007646
741	0.5169306747
742	0.5168207971
743	0.5167170704
744	0.5166277609
745	0.5165564839
746	0.5164823231
747	0.5164059424
748	0.516313952
749	0.5162346104
750	0.5161708216
751	0.5161019106
752	0.5160261393
753	0.5159661762
754	0.5159158594
755	0.5158627692
756	0.5157822647
757	0.5157047977
758	0.515565733
759	0.5154643599
760	0.5153999933
761	0.5153098037
762	0.5152183939
763	0.5150955895
764	0.5149934634
765	0.5149416366
766	0.5148588303
767	0.5147463754
768	0.5146925766
769	0.5146102436
770	0.5145404317
771	0.514470857
772	0.5144076784
773	0.5142976634
774	0.5142461568
775	0.5141632227
776	0.5140405736
777	0.5139479679
778	0.5138476089
779	0.513726065
780	0.513644896
781	0.5135288101
782	0.5134569239
783	0.5133523647
784	0.5132549026
785	0.5131788367
786	0.5131153459
787	0.5130329791
788	0.5129620515
789	0.5128908149
790	0.5127726299
791	0.5126889335
792	0.5126061836
793	0.5125142995
794	0.5124317017
795	0.5123729309
796	0.5122876891
797	0.5121687756
798	0.5121083378
799	0.5120369537
800	0.5119967192
801	0.511941839
802	0.5118634552
803	0.5118009361
804	0.5117479601
805	0.5116344978
806	0.5115698034
807	0.5115007694
808	0.5114726903
809	0.5113986486
810	0.5112815779
811	0.5111906838
812	0.5111308561
813	0.5110366016
814	0.5109127116
815	0.5108132461
816	0.5107014617
817	0.5106613246
818	0.5105748577
819	0.5104833062
820	0.5104093035
821	0.5103490399
822	0.5102757242
823	0.5102073166
824	0.5100974566
825	0.509986267
826	0.50993948
827	0.5098647903
828	0.5097936564
829	0.5096991421
830	0.5095705054
831	0.5095190076
832	0.5094495035
833	0.5093887825
834	0.5093282711
835	0.5092441622
836	0.509127741
837	0.5090610105
838	0.5089789399
839	0.5089153639
840	0.5088193915
841	0.5087500046
842	0.5086755454
843	0.5086163196
844	0.5085395651
845	0.508460268
846	0.5083994191
847	0.5083234943
848	0.5082384172
849	0.5081471585
850	0.5080367292
851	0.5079519191
852	0.507870752
853	0.5078257072
854	0.5077096696
855	0.507651609
856	0.5076069759
857	0.5075116275
858	0.5074448136
859	0.5073492688
860	0.5072412099
861	0.5071494249
862	0.5070262522
863	0.506970614
864	0.5069321923
865	0.5068749772
866	0.5067909382
867	0.5067315127
868	0.5066605464
869	0.5065831995
870	0.5065056396
871	0.5064148161
872	0.5063537637
873	0.5062738931
874	0.5061472865
875	0.5060868342
876	0.5060008608
877	0.5059295125
878	0.5058269828
879	0.505720672
880	0.5056323167
881	0.5055760589
882	0.5054860402
883	0.505386315
884	0.5053142983
885	0.505184164
886	0.5051214039
887	0.5050639554
888	0.5049865573
889	0.5049135779
890	0.5048277306
891	0.5047914023
892	0.5047318162
893	0.5046533246
894	0.5045581202
895	0.5045004223
896	0.5044418504
897	0.5043754008
898	0.5043312583
899	0.5042472329
900	0.5041768008
901	0.5040447292
902	0.5039369737
903	0.5038668021
904	0.5038025475
905	0.5037145316
906	0.5036717932
907	0.5035761224
908	0.503505344
909	0.5034624888
910	0.5033431671
911	0.5032804669
912	0.5032139478
913	0.5031277749
914	0.5030715115
915	0.5029869395
916	0.5029038912
917	0.5028035104
918	0.5027814206
919	0.5027235605
920	0.5026412649
921	0.5025112338
922	0.5024461604
923	0.5023760202
924	0.5022497142
925	0.5021539758
926	0.5021290193
927	0.5020406933
928	0.5019849002
929	0.501944589
930	0.5018524475
931	0.5017648778
932	0.5016609205
933	0.5015769822
934	0.501523985
935	0.5014839454
936	0.5013994782
937	0.5013543979
938	0.5012611169
939	0.501197994
940	0.5011403091
941	0.5010535799
942	0.5009592657
943	0.5009012487
944	0.5008493864
945	0.5007718318
946	0.5007209231
947	0.5006613858
948	0.50056499
949	0.5004911048
950	0.5004130494
951	0.5003559241
952	0.500286981
953	0.5002489761
954	0.500154449
955	0.5000982563
956	0.5000154996
957	0.4999226454
958	0.4998536393
959	0.4997970447
960	0.4996931426
961	0.499668538
962	0.4995850894
963	0.4994820223
964	0.4994437847
965	0.4993667046
966	0.4992690742
967	0.4992108641
968	0.4991362682
969	0.4990591324
970	0.4989813371
971	0.498881708
972	0.4988046746
973	0.4987052833
974	0.4986564061
975	0.4985558114
976	0.4984825933
977	0.4984125183
978	0.4983141707
979	0.4982386544
980	0.4981446453
981	0.498082626
982	0.4980277983
983	0.4979743091
984	0.4979463393
985	0.4978698751
986	0.4978065342
987	0.4977173525
988	0.4976477741
989	0.4975798467
990	0.4975098743
991	0.4974597194
992	0.4974044936
993	0.4972960953
994	0.4972338454
995	0.4971723209
996	0.49709182
997	0.4970509722
998	0.4970015373
999	0.496951522
